Hour,power_norm,windreal1,power_norm,windreal2,power_norm,windreal3,power_norm,windreal4,power_norm,windreal5,power_norm,windreal6,windreal7b,windreal7,year
1/1/07 0:00,0.164028496,2460.427433,0.29214254,4382.138103,0.303777784,4556.666762,0.213931888,3208.978325,0.179783806,2696.757093,0.291400343,4371.005148,0.12750614,1912.5921,2007
1/1/07 1:00,0.167389169,2510.83754,0.302061379,4530.920684,0.307504058,4612.560868,0.218072861,3271.092921,0.191510811,2872.662172,0.300977081,4514.656216,0.21928538,3289.2807,2007
1/1/07 2:00,0.172317073,2584.756091,0.316463649,4746.954739,0.312258661,4683.879912,0.221949428,3329.241425,0.202189893,3032.848388,0.31366241,4704.936147,0.32209405,4831.41075,2007
1/1/07 3:00,0.182747185,2741.207778,0.326386839,4895.802587,0.321481735,4822.226018,0.225561365,3383.420482,0.208697364,3130.460456,0.31911695,4786.754251,0.44678074,6701.7111,2007
1/1/07 4:00,0.18663162,2799.474299,0.325288117,4879.321754,0.332427144,4986.407161,0.236187831,3542.817459,0.206836373,3102.545589,0.316987574,4754.813612,0.57443708,8616.5562,2007
1/1/07 5:00,0.191822469,2877.337039,0.327641666,4914.624989,0.343374342,5150.615126,0.253705502,3805.582523,0.208630607,3129.459098,0.323463798,4851.956964,0.74631536,11194.7304,2007
1/1/07 6:00,0.195970401,2939.556018,0.331362933,4970.443994,0.350337774,5255.066603,0.267768115,4016.521722,0.218789533,3281.842992,0.334754556,5021.318346,0.74751169,11212.67535,2007
1/1/07 7:00,0.202468112,3037.021682,0.335777014,5036.655217,0.361819863,5427.29795,0.278748542,4181.228131,0.233129054,3496.935815,0.345193624,5177.904367,0.8761642,13142.463,2007
1/1/07 8:00,0.216026053,3240.390792,0.343630612,5154.459178,0.389567882,5843.518227,0.286284864,4294.272959,0.239969566,3599.543497,0.350695997,5260.439962,0.93839651,14075.94765,2007
1/1/07 9:00,0.229154259,3437.313884,0.365237951,5478.569269,0.402326792,6034.901887,0.290365428,4355.481416,0.249562979,3743.444681,0.362191647,5432.874709,0.9737891,14606.8365,2007
1/1/07 10:00,0.234273583,3514.10374,0.381869555,5728.043318,0.41079542,6161.931306,0.298245132,4473.67698,0.257426322,3861.394823,0.371533543,5573.003143,1,15000,2007
1/1/07 11:00,0.238347322,3575.209826,0.401473254,6022.098809,0.426969796,6404.546946,0.304744303,4571.164548,0.265298396,3979.475945,0.393282712,5899.240673,1,15000,2007
1/1/07 12:00,0.244836956,3672.554344,0.418934524,6284.017861,0.46795997,7019.399554,0.309176564,4637.648463,0.278334796,4175.021946,0.412878901,6193.183511,1,15000,2007
1/1/07 13:00,0.257178634,3857.679516,0.425687253,6385.308802,0.499509931,7492.648959,0.311517239,4672.758579,0.293079793,4396.196902,0.42007485,6301.122755,1,15000,2007
1/1/07 14:00,0.269524187,4042.862803,0.441012114,6615.181714,0.515414953,7731.224298,0.315588087,4733.821303,0.302645057,4539.675862,0.43668294,6550.244093,1,15000,2007
1/1/07 15:00,0.280491233,4207.368493,0.468326747,7024.901211,0.52983731,7947.559655,0.325168997,4877.534956,0.310849816,4662.747234,0.470836341,7062.545121,1,15000,2007
1/1/07 16:00,0.289385766,4340.786487,0.48578465,7286.769748,0.544281244,8164.218664,0.338873684,5083.105266,0.320091605,4801.374078,0.494374812,7415.622175,1,15000,2007
1/1/07 17:00,0.300339848,4505.097717,0.499362648,7490.439713,0.547208667,8208.130002,0.347313762,5209.706426,0.333809048,5007.135719,0.501805186,7527.077794,1,15000,2007
1/1/07 18:00,0.308903784,4633.556753,0.517827868,7767.418027,0.540115952,8101.739287,0.35322845,5298.426747,0.335836083,5037.54124,0.518747628,7781.214416,1,15000,2007
1/1/07 19:00,0.315060586,4725.908786,0.52075845,7811.37675,0.53003782,7950.567305,0.368982106,5534.731597,0.332023889,4980.358332,0.530186534,7952.798009,1,15000,2007
1/1/07 20:00,0.32226029,4833.904356,0.513673484,7705.102265,0.517445147,7761.677206,0.391608238,5874.123573,0.337830812,5067.462176,0.528111398,7921.670973,1,15000,2007
1/1/07 21:00,0.325668037,4885.020554,0.507104933,7606.573999,0.523370862,7850.56293,0.409538656,6143.079847,0.348622024,5229.330361,0.528059423,7920.891345,0.23381785,3507.26775,2007
